,source,target,weight
145,Cameroon,Algeria,0.019230769230769232
146,Tanzania,Palestine,0.006289308176100629
147,Albania,Cyprus,0.0196078431372549
148,Cameroon,Eritrea,0.0038461538461538464
149,Argentina,Poland,0.012152777777777778
150,Liechtenstein,Andorra,0.058823529411764705
151,Indonesia,Iraq,0.0036496350364963502
152,Ethiopia,Liberia,0.007142857142857143
153,Bangladesh,Northern Mariana Islands,0.013333333333333334
154,Guinea,Ghana,0.015463917525773196
155,Tunisia,Palestine,0.0035460992907801418
156,South Africa,Algeria,0.0049504950495049506
157,Jordan,Uzbekistan,0.011976047904191617
158,Portugal,Nigeria,0.002976190476190476
159,France,Sweden,0.026143790849673203
160,Saint Lucia,Guadeloupe,0.02631578947368421
161,Morocco,Sudan,0.01444043321299639
162,Bulgaria,Kuwait,0.007782101167315175
163,Bulgaria,Algeria,0.011673151750972763
164,Guatemala,Uruguay,0.005263157894736842
165,France,Morocco,0.008714596949891068
166,Morocco,Kuwait,0.010830324909747292
167,Czech Republic,United States,0.010869565217391304
168,Bahamas,British Virgin Islands,0.15384615384615385
169,Laos,Brunei,0.24390243902439024
170,United States,Turkey,0.005952380952380952
171,Mexico,Trinidad and Tobago,0.030120481927710843
172,Togo,Egypt,0.0072992700729927005
173,Serbia,Chile,0.006756756756756757
174,Faroe Islands,Latvia,0.02040816326530612
175,Sudan,Djibouti,0.013605442176870748
176,Tahiti,Kiribati,0.007751937984496124
177,Romania,Chile,0.006191950464396285
178,Israel,Estonia,0.017241379310344827
179,Dominica,Saint Lucia,0.2
180,Central African Republic,Madagascar,0.15384615384615385
181,United Arab Emirates,Saudi Arabia,0.03361344537815126
182,Ecuador,South Korea,0.005714285714285714
183,Uruguay,Ghana,0.002380952380952381
184,Czechoslovakia,Italy,0.035398230088495575
185,Zimbabwe,Guinea,0.010810810810810811
186,Senegal,France,0.007168458781362007
187,Tajikistan,Sri Lanka,0.04285714285714286
188,Algeria,Slovenia,0.0037735849056603774
189,Oman,Thailand,0.030303030303030304
190,Trinidad and Tobago,South Africa,0.0031746031746031746
191,Cyprus,Slovenia,0.039473684210526314
192,Togo,Comoros,0.014598540145985401
193,Chile,Guinea,0.003246753246753247
194,Australia,Syria,0.01048951048951049
195,Solomon Islands,Tonga,0.056818181818181816
196,Tamil Eelam,Chagos Islands,0.08333333333333333
197,Peru,Ecuador,0.09210526315789473
198,Israel,Ethiopia,0.017241379310344827
199,Guinea,Botswana,0.02577319587628866
200,Hungary,Costa Rica,0.0021551724137931034
201,Turkey,Saudi Arabia,0.012244897959183673
202,Oman,Turkmenistan,0.025252525252525252
203,Bulgaria,Sweden,0.011673151750972763
204,England,Spain,0.021346469622331693
205,South Africa,Cape Verde,0.009900990099009901
206,Mexico,German DR,0.002008032128514056
207,Colombia,Scotland,0.004016064257028112
208,Thailand,United Arab Emirates,0.006211180124223602
209,Ecuador,Turkey,0.005714285714285714
210,Libya,Mauritania,0.007194244604316547
211,Poland,Georgia,0.010666666666666666
212,Yugoslavia,South Korea,0.008968609865470852
213,Angola,Malta,0.007462686567164179
214,Norway,Saint Lucia,0.0031847133757961785
215,Finland,Thailand,0.004784688995215311
216,Russia,Norway,0.018867924528301886
217,Colombia,Switzerland,0.008032128514056224
218,Egypt,Kuwait,0.013736263736263736
219,Australia,Tajikistan,0.006993006993006993
220,Uganda,Ivory Coast,0.0036363636363636364
221,Wales,Latvia,0.01327433628318584
222,Australia,Oman,0.02097902097902098
223,Czechoslovakia,Costa Rica,0.004424778761061947
224,Trinidad and Tobago,Republic of Ireland,0.0031746031746031746
225,Grenada,Puerto Rico,0.06329113924050633
226,Shetland,Isle of Man,0.047619047619047616
227,Gibraltar,Monaco,0.05714285714285714
228,Morocco,Luxembourg,0.010830324909747292
229,Brazil,Gabon,0.0015105740181268882
230,Estonia,Saint Kitts and Nevis,0.007633587786259542
231,South Korea,Pakistan,0.003795066413662239
232,Angola,Togo,0.029850746268656716
233,Spain,Portugal,0.036036036036036036
234,Wales,Ukraine,0.004424778761061947
235,Mali,Burkina Faso,0.08928571428571429
236,Sweden,United States,0.005660377358490566
237,Ecuador,United States,0.02857142857142857
238,Haiti,Venezuela,0.00980392156862745
239,Brazil,Ivory Coast,0.0015105740181268882
240,Guinea-Bissau,Togo,0.02
241,China PR,Lebanon,0.011661807580174927
242,Isle of Wight,Western Isles,0.038461538461538464
243,Germany,Thailand,0.0017123287671232876
244,England,Germany,0.022988505747126436
245,Bolivia,Saudi Arabia,0.018018018018018018
246,England,North Macedonia,0.0049261083743842365
247,Turkmenistan,Afghanistan,0.06779661016949153
248,Indonesia,Western Australia,0.0072992700729927005
249,Czechoslovakia,Iran,0.004424778761061947
250,Guadeloupe,Réunion,0.00909090909090909
251,Paraguay,Japan,0.007518796992481203
252,Malawi,Eritrea,0.004651162790697674
253,Indonesia,Vietnam,0.040145985401459854
254,Trinidad and Tobago,Colombia,0.0031746031746031746
255,Australia,Zimbabwe,0.01048951048951049
256,Sudan,São Tomé and Príncipe,0.013605442176870748
257,Franconia,Raetia,1.0
258,North Macedonia,Latvia,0.034482758620689655
259,Haiti,Dominica,0.00980392156862745
260,Lesotho,Malawi,0.0784313725490196
261,Saudi Arabia,South Korea,0.011869436201780416
262,Honduras,Jamaica,0.05084745762711865
263,Cuba,Saint Martin,0.007407407407407408
264,Guinea,Gambia,0.05154639175257732
265,Egypt,Germany,0.0027472527472527475
266,Serbia,Wales,0.02702702702702703
267,Ethiopia,Uganda,0.09285714285714286
268,Japan,Russia,0.0026455026455026454
269,Eswatini,DR Congo,0.03636363636363636
270,Russia,Slovenia,0.01078167115902965
271,Togo,Ethiopia,0.0072992700729927005
272,Mexico,Peru,0.024096385542168676
273,Vietnam,Taiwan,0.02608695652173913
274,United States,Venezuela,0.008928571428571428
275,DR Congo,Ghana,0.021052631578947368
276,Argentina,South Africa,0.001736111111111111
277,Belarus,Bahrain,0.011494252873563218
278,Netherlands,Uruguay,0.0045662100456621
279,Libya,Yemen,0.03597122302158273
280,German DR,Finland,0.02857142857142857
281,Bangladesh,Seychelles,0.013333333333333334
282,Iran,Indonesia,0.014792899408284023
283,England,Denmark,0.021346469622331693
284,Peru,Slovakia,0.008771929824561403
285,Turkmenistan,Singapore,0.01694915254237288
286,Netherlands,Slovenia,0.0045662100456621
287,Guinea-Bissau,Senegal,0.02
288,Peru,Romania,0.0043859649122807015
289,Japan,Iraq,0.018518518518518517
290,Finland,Netherlands,0.004784688995215311
291,Burundi,Zanzibar,0.03225806451612903
292,Lebanon,Vietnam,0.011627906976744186
293,Zambia,Togo,0.0084985835694051
294,Peru,Japan,0.013157894736842105
295,Poland,United States,0.016
296,Barbados,Curaçao,0.033707865168539325
297,Kuwait,Qatar,0.07092198581560284
298,Brittany,Congo,0.16666666666666666
299,Peru,Venezuela,0.10087719298245613
300,Tunisia,Algeria,0.03900709219858156
301,Burundi,Seychelles,0.0967741935483871
302,South Korea,Italy,0.0018975332068311196
303,Argentina,Morocco,0.005208333333333333
304,Cyprus,Iceland,0.013157894736842105
305,India,Taiwan,0.031746031746031744
306,Uganda,Niger,0.01090909090909091
307,Bermuda,Belize,0.01639344262295082
308,Algeria,Chad,0.0037735849056603774
309,Australia,Costa Rica,0.0034965034965034965
310,Paraguay,Romania,0.0037593984962406013
311,Faroe Islands,Greenland,0.12244897959183673
312,Israel,Ukraine,0.005747126436781609
313,Saint Kitts and Nevis,Andorra,0.012195121951219513
314,Tunisia,Ethiopia,0.014184397163120567
315,Ukraine,Norway,0.027972027972027972
316,DR Congo,Namibia,0.005263157894736842
317,Canada,Libya,0.005988023952095809
318,Ukraine,Belarus,0.04195804195804196
319,Lesotho,Namibia,0.0392156862745098
320,Ukraine,Iceland,0.013986013986013986
321,Sweden,Australia,0.0018867924528301887
322,Lebanon,Philippines,0.011627906976744186
323,Greece,Republic of Ireland,0.017467248908296942
324,Benin,Ethiopia,0.013157894736842105
325,Russia,Egypt,0.0026954177897574125
326,Bosnia and Herzegovina,Faroe Islands,0.01020408163265306
327,Poland,Luxembourg,0.016
328,Morocco,Mauritania,0.018050541516245487
329,Kenya,Cape Verde,0.011450381679389313
330,Uganda,Eritrea,0.007272727272727273
331,Maldives,Bangladesh,0.09836065573770492
332,Czech Republic,Bulgaria,0.02717391304347826
333,Provence,Sápmi,0.16666666666666666
334,Syria,Taiwan,0.018404907975460124
335,Hungary,Mexico,0.004310344827586207
336,Canary Islands,Angola,0.3333333333333333
337,Guatemala,Anguilla,0.010526315789473684
338,Puerto Rico,Grenada,0.02857142857142857
339,Czechoslovakia,Austria,0.0752212389380531
340,Mexico,China PR,0.006024096385542169
341,Germany,Ukraine,0.008561643835616438
342,Palestine,Cambodia,0.015151515151515152
343,Nigeria,Jamaica,0.006779661016949152
344,Brazil,Egypt,0.00906344410876133
345,England,Albania,0.009852216748768473
346,Russia,Montenegro,0.005390835579514825
347,Angola,Burkina Faso,0.029850746268656716
348,Cape Verde,Malta,0.012345679012345678
349,Morocco,Georgia,0.0036101083032490976
350,Afghanistan,Cambodia,0.08571428571428572
351,Israel,Chile,0.005747126436781609
352,Spain,Andorra,0.0045045045045045045
353,Iraqi Kurdistan,Székely Land,0.07692307692307693
354,Mali,Botswana,0.026785714285714284
355,Senegal,Gambia,0.043010752688172046
356,Argentina,Jamaica,0.006944444444444444
357,Cameroon,Mauritania,0.007692307692307693
358,France,Andorra,0.010893246187363835
359,Cameroon,Gabon,0.038461538461538464
360,Zambia,Zimbabwe,0.059490084985835696
361,Saudi Arabia,India,0.008902077151335312
362,Colombia,China PR,0.004016064257028112
363,United States,Belize,0.002976190476190476
364,Kosovo,Israel,0.034482758620689655
365,Portugal,Uruguay,0.005952380952380952
366,Algeria,Cape Verde,0.011320754716981131
367,Bulgaria,Croatia,0.0038910505836575876
368,Denmark,Yugoslavia,0.005141388174807198
369,Egypt,Botswana,0.01098901098901099
370,Bulgaria,Norway,0.027237354085603113
371,Saint Lucia,Guyana,0.02631578947368421
372,South Korea,Libya,0.0018975332068311196
373,Japan,Pakistan,0.0026455026455026454
374,Romania,Honduras,0.0030959752321981426
375,Rwanda,Kenya,0.024096385542168676
376,Eswatini,Kenya,0.03636363636363636
377,Mauritania,Somalia,0.020833333333333332
378,Poland,Ivory Coast,0.0026666666666666666
379,Latvia,Andorra,0.05555555555555555
380,China PR,Myanmar,0.029154518950437316
381,Gibraltar,Liechtenstein,0.08571428571428572
382,South Sudan,Malawi,0.09090909090909091
383,Japan,Greece,0.0026455026455026454
384,Vietnam,Bangladesh,0.008695652173913044
385,Tahiti,Northern Mariana Islands,0.007751937984496124
386,Egypt,Morocco,0.01098901098901099
387,Jordan,Australia,0.017964071856287425
388,Tunisia,Costa Rica,0.0035460992907801418
389,England,Andorra,0.009852216748768473
390,Montenegro,Greece,0.0196078431372549
391,Costa Rica,Italy,0.003257328990228013
392,Lithuania,New Zealand,0.00909090909090909
393,Republic of Ireland,Hungary,0.01282051282051282
394,Azerbaijan,Faroe Islands,0.05084745762711865
395,Sweden,Israel,0.009433962264150943
396,Czech Republic,Canada,0.010869565217391304
397,Portugal,Romania,0.01488095238095238
398,Abkhazia,Donetsk PR,0.07142857142857142
399,Guadeloupe,Nicaragua,0.00909090909090909
400,Spain,Czech Republic,0.01126126126126126
401,Ecuador,Venezuela,0.08571428571428572
402,Peru,Bolivia,0.10964912280701754
403,Wales,Czechoslovakia,0.01327433628318584
404,United Koreans in Japan,Ryūkyū,0.3333333333333333
405,Arameans Suryoye,Sápmi,0.2
406,Jordan,Trinidad and Tobago,0.005988023952095809
407,Ukraine,Spain,0.006993006993006993
408,Jamaica,Saint Vincent and the Grenadines,0.020491803278688523
409,Austria,Bulgaria,0.014164305949008499
410,Germany,Finland,0.0273972602739726
411,Egypt,Liberia,0.013736263736263736
412,Wales,Cyprus,0.022123893805309734
413,Indonesia,Laos,0.029197080291970802
414,Uganda,Burundi,0.04
415,United Arab Emirates,Dominican Republic,0.004201680672268907
416,Norway,Yugoslavia,0.006369426751592357
417,Wales,North Macedonia,0.004424778761061947
418,Indonesia,Syria,0.0036496350364963502
419,Algeria,Ethiopia,0.01509433962264151
420,Lithuania,Gibraltar,0.01818181818181818
421,Macau,Sri Lanka,0.047619047619047616
422,Malta,Greece,0.01694915254237288
423,New Caledonia,Saint Pierre and Miquelon,0.007575757575757576
424,United Arab Emirates,Sudan,0.008403361344537815
425,Slovenia,Russia,0.018518518518518517
426,Austria,Latvia,0.0169971671388102
427,Equatorial Guinea,Cambodia,0.021739130434782608
428,Kenya,Liberia,0.007633587786259542
429,Finland,Tunisia,0.009569377990430622
430,Greece,Liechtenstein,0.017467248908296942
431,Slovenia,Albania,0.037037037037037035
432,Jordan,Libya,0.017964071856287425
433,Padania,Panjab,0.06666666666666667
434,Padania,South Ossetia,0.03333333333333333
